Date,Consumption,Wind,Solar
2013/3/6,1365.104,57.594,111.856
2013/3/7,1359.518,224.2,72.133
2013/3/8,1343.251,265.687,80.983
2013/3/9,1160.281,197.591,49.142
2013/3/10,1070.617,187.672,47.758
2013/3/11,1394.744,116.369,27.851
2013/3/12,1428.073,58.433,37.771
2013/3/13,1425.143,21.146,33.989
2013/3/14,1420.149,28.595,62.718
2013/3/15,1406.081,47.822,95.516
2013/3/16,1192.547,226.415,124.196
2013/3/17,1048.639,355.557,71.098
2013/3/18,1336.399,217.252,41.638
2013/3/19,1391.853,102.054,53.366
2013/3/20,1411.346,73.405,53.404
2013/3/21,1407.382,40.815,51.012
2013/3/22,1383.17,208.389,105.826
2013/3/23,1200.663,413.845,83.618
2013/3/24,1105.345,369.604,111.143
2013/3/25,1340.939,362.866,78.732
2013/3/26,1357.46,238.241,81.603
2013/3/27,1360.931,190.15,91.094
2013/3/28,1343.532,95.495,74.997
2013/3/29,1080.715,37.969,64.355
2013/3/30,1092.932,20.545,152.93
2013/3/31,1002.856,39.624,157.841
2013/4/1,1034.891,63.454,128.002
2013/4/2,1345.605,122.047,107.823
2013/4/3,1392.167,170.664,75.938
2013/4/4,1413.628,133.071,104.692
2013/4/5,1407.873,76.265,35.106
2013/4/6,1189.98,38.77,51.115
2013/4/7,1065.085,42.472,113.686
2013/4/8,1361.105,96.848,124.439
2013/4/9,1376.079,164.401,90.156
2013/4/10,1386.803,85.189,74.005
2013/4/11,1370.114,107.345,57.516
2013/4/12,1330.657,135.663,91.288
2013/4/13,1099.128,195.974,105.89
2013/4/14,1026.336,110.457,132.771
2013/4/15,1295.701,117.817,166.529
2013/4/16,1347.112,92.473,120.058
2013/4/17,1352.204,83.615,140.564
2013/4/18,1319.849,324.587,144.654
2013/4/19,1300.419,157.986,75.407
2013/4/20,1105.738,86.463,89.739
2013/4/21,1008.826,73.87,116.257
2013/4/22,1312.209,46.955,95.569
2013/4/23,1305.94,194.195,125.845
2013/4/24,1330.709,100.646,180.642
2013/4/25,1338.207,39.618,165.115
2013/4/26,1309.994,96.918,114.018
2013/4/27,1106.43,81.658,62.057
2013/4/28,1021.551,36.764,93.4
2013/4/29,1299.276,170.675,87.743
2013/4/30,1317.183,76.782,93.325
2013/5/1,1004.86,57.722,134.309
2013/5/2,1280.019,72.055,96.999
2013/5/3,1296.473,36.11,106.336
2013/5/4,1106.577,62.087,131.373
2013/5/5,1005.52,40.282,181.631
2013/5/6,1299.818,63.526,157.684
2013/5/7,1333.693,78.471,89.723
2013/5/8,1326.54,63.391,161.455
2013/5/9,1029.826,59.117,127.245
2013/5/10,1183.877,123.713,96.005
2013/5/11,1094.466,75.962,94.88
2013/5/12,999.825,99.495,117.662
2013/5/13,1294.342,148.164,81.794
