,负载率
233,0.5468999999999999
234,0.5986
235,0.5924
236,0.5398
237,0.7019
238,0.46140000000000003
239,0.8518000000000001
240,0.9499
241,0.40619999999999995
242,0.5215
243,1.0937999999999999
244,0.2782
245,0.3171
246,0.8471
247,0.4889
248,0.7889
249,0.5710000000000001
250,0.4165
251,0.3716
252,0.099
253,0.3395
254,0.5856
255,0.36700000000000005
256,0.6657
257,0.5159
258,0.6131
259,0.2556
260,0.3029
261,0.34119999999999995
262,0.3031
263,0.7587999999999999
264,0.0737
265,0.6527
266,0.1413
267,0.39189999999999997
268,0.892
269,0.1249
270,0.1461
271,0.13419999999999999
272,0.5403
273,0.1032
274,0.3193
275,0.3296
276,0.5322
277,0.5936
278,0.8802
279,0.8643000000000001
280,0.6570999999999999
281,0.6344
282,0.653
283,0.7465
284,0.6998000000000001
285,0.7822
286,0.2836
287,0.7293000000000001
288,0.5561
289,0.547
290,0.7389
291,0.2606
292,0.0712
293,0.2023
294,0.17370000000000002
295,0.0892
296,0.08289999999999999
297,0.3077
298,0.2576
299,0.3297
300,0.2296
301,0.2445
302,0.1378
303,0.3029
304,0.1623
305,0.2157
306,0.3284
307,0.303
308,0.1635
309,0.2516
310,0.1673
311,0.2566
312,0.1771
313,0.1597
314,0.3292
315,0.23670000000000002
316,0.5597
317,0.5670000000000001
318,0.35369999999999996
319,0.179
320,0.7141
321,0.5602
322,0.4876
323,0.08289999999999999
324,0.5981000000000001
325,0.3039
326,0.2267
327,0.4982
328,0.4714
329,0.18059999999999998
330,0.1839
331,0.3575
332,0.6639
333,0.2539
334,0.4783
335,0.3871
336,0.31329999999999997
337,0.4355
338,0.31629999999999997
339,0.20149999999999998
340,0.473
341,0.20149999999999998
342,0.3214
343,0.667
344,0.0785
345,0.0405
346,0.04019999999999999
347,0.49439999999999995
348,0.6518999999999999
349,0.2688
350,0.6134000000000001
351,0.5318
352,0.4138
353,0.2237
354,0.163
355,0.2523
356,0.6709999999999999
357,0.0152
358,0.17579999999999998
359,0.368
360,0.5578
361,0.4567
362,0.2707
363,0.5585
364,0.5540999999999999
365,0.6563
366,0.7734000000000001
367,0.33299999999999996
368,0.1286
369,0.32659999999999995
370,0.2206
371,0.1935
372,0.058600000000000006
373,0.0842
374,0.3558
375,0.6668000000000001
376,0.1769
377,0.2048
378,0.2565
379,0.2108
380,0.3467
381,0.2267
382,0.3379
383,0.5936
384,0.49920000000000003
385,0.07440000000000001
386,0.1389
387,0.3276
388,0.648
389,0.4422
